"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Task","Day"
"1","gt66x120","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"2","gt66x121","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"3","gt66x122","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"4","gt67x123","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"5","gt67x124","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"6","gt67x125","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"7","gt68x126","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"8","gt68x127","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"9","gt68x128","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"10","gt69x129","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"11","gt69x130","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"12","gt69x131","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"13","gt70x132","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"14","gt70x133","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"15","gt70x134","Site2","3xTG-AD","3xTG-AD","Female","4","Phase I",1
"16","gt178f422","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"17","gt178f423","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"18","gt178f424","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"19","gt178f425","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"20","gt74f149","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"21","gt75f151","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"22","gt75f152","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"23","gt75f153","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"24","gt76f155","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"25","gt76f156","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"26","gt76f158","Site2","5xFAD","5xFAD","Female","4","Phase I",1
"27","gt147a317","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"28","gt147a318","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"29","gt148a320","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"30","gt148a321","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"31","gt149a322","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"32","gt149a324","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"33","gt149a325","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"34","gt150a327","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"35","gt150a328","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"36","gt150a329","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"37","gt151a330","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"38","gt151a331","Site2","APP-PS1","APPPS1","Female","4","Phase I",1
"39","gw61x105","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"40","gw61x106","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"41","gw61x107","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"42","gw62x108","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"43","gw62x109","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"44","gw62x110","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"45","gw63x111","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"46","gw63x112","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"47","gw63x113","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"48","gw64x114","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"49","gw64x115","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"50","gw64x116","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"51","gw65x117","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"52","gw65x118","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"53","gw65x119","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase I",1
"54","gw175f410","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"55","gw175f411","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"56","gw175f412","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"57","gw175f413","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"58","gw176f414","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"59","gw176f415","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"60","gw176f416","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"61","gw176f417","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"62","gw177f418","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"63","gw177f419","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"64","gw177f420","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"65","gw177f421","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"66","gw71f135","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"67","gw71f136","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"68","gw71f137","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"69","gw71f138","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"70","gw72f139","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"71","gw72f140","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"72","gw72f142","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"73","gw73f143","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"74","gw73f144","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"75","gw73f145","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"76","gw73f146","Site2","5xFAD","B6SJLF1/J","Female","4","Phase I",1
"77","gw142a300","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"78","gw142a301","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"79","gw142a302","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"80","gw142a303","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"81","gw143a304","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"82","gw143a305","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"83","gw144a306","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"84","gw144a307","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"85","gw145a310","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"86","gw145a311","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"87","gw145a312","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"88","gw145a313","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"89","gw146a314","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"90","gw146a315","Site2","APP-PS1","C57BL6","Female","4","Phase I",1
"91","lt57x112","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"92","lt57x113","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"93","lt58x114","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"94","lt58x115","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"95","lt59x116","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"96","lt59x117","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"97","lt60x118","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"98","lt60x119","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"99","lt61x120","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
"100","lt61x121","Site1","3xTG-AD","3xTG-AD","Male","4","Phase I",1
